track id,track name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lyrics
0qc4QlcCxVTGyShurEv1UU,Post Malone (feat. RANI),Sam Feldt,0.59,0.642,7.0,-3.87,1.0,0.122,0.0771,0.0,0.105,0.6509999999999999,107.35600000000001,"One more drink, got one more Bacardi
One more dance at this afterparty
We're still going, going strong
Speed so fast, like a Ferrari
We get wild, like on safari
We're still going, going strong

And all of these good things, good things, good things
All we need, good things, good things, good things

Tonight we go all night long
We party like Post Malone
Don't tell me to go-oh-oh
Yeah we are never ever going home
Tonight, ain't nobody kill my vibe
Don't tell me to go-oh-oh
"
2kAIpGWnlFLQh48iut6Zzq,Free Spirit,Khalid,0.627,0.446,2.0,-9.477,0.0,0.0332,0.308,0.0007700000000000001,0.111,0.11,139.994,"We were runnin' onto something
And we didn't say forever but it's all we wanted
You were so in love with simple things
And now we're searching for the fire, dripping kerosene
I've been lovin' more, livin' less
Off of highs and lows, so obsessed

Couldn't get nothin'
But we're never runnin' out, we'll be

Free spirits, free spirits
Can you hear me calling?
Oh, it's all or nothing
When you're free spirits, free spirits
Can you hear it calling?
"
2qfEcCkEo5NscA9GL7ER72,Nobody,Martin Jensen,0.6729999999999999,0.687,6.0,-5.295,0.0,0.0623,0.26899999999999996,0.0,0.18100000000000002,0.524,96.964,"Dressed up all night
There's no one to impress
Standing in line
Still I smell like cigarettes
I don't know why my
Friends are so obsessed
With staying up 'til we're sober
Wasting money on regrets

I lost my jacket, about
To lose my mind
'Cause it's 5am and
I got work at 9
I'm all alone heading
For the exit signs
From the minute that
I saw you, I started thinking twice

There's something 'bout ya
You steal the room
I can't believe I never
Seen nobody, nobody like you
I'm freakin' out
Just tryna play it cool
I can't believe
I never seen nobody, nobody like you

Nobody like
Nobody, no, nobody like you
No, no, nobody, nobody like
Nobody, no, nobody like you
"
4Gcv5SsxnQWpmOnUI19EJk,All You Need To Know (feat. Calle Lehmann),Gryffin,0.513,0.7879999999999999,0.0,-4.629,1.0,0.0364,0.00968,0.0,0.11,0.23399999999999999,139.987,"Simple as can be
I got your hands in mine
And you don't have to listen carefully
I'll tell you a thousand times

Anything you feel, put it all on me
All of your thoughts, I want everything
And when you get sad, like you do sometimes
Put it all on me
Put it all on me

I'll lift you when you're feeling low
I'll hold you when the night gets cold
You'll never have to be alone
And that's all you need to know
No love lost, we've got you and I
No clouds, we shoot them out the sky
You'll never have to be alone
And that's all you need to know

And that's all you need to know

And that's all you need to know

Simple as can be
"
1tNJrcVe6gwLEiZCtprs1u,3 Nights,Dominic Fike,0.815,0.518,7.0,-6.593999999999999,0.0,0.0897,0.223,0.0,0.10400000000000001,0.877,151.891,"Three nights at the motel
Under streetlights
In the city of palms
Call me what you want, when you want, if you want
And you can call me names if you call me up

Three nights at the motel
Under streetlights
In the city of palms
Call me what you want, when you want, if you want
And you can call me names if you call me up

Feel like the least of all your problems
You can reach me if you wanna stay up tonight
Stay up at night
Green lights in your body language
Seems like you could use a little

Company from me
But if you got everything
Figured out like you say
Don't waste a minute
Don't wait a minute

It's only a matter of time
"
7nDYw1nNAW4dAqgmW2W3tq,Almost (Sweet Music),Hozier,0.384,0.6890000000000001,7.0,-5.598,1.0,0.19699999999999998,0.0217,2.24e-06,0.204,0.7020000000000001,179.82299999999998,"I came in from the outside
Burnt out from the joy ride
She likes to roll here in my ashes anyway
Played from the bedside
Is ""Stella By Starlight""
""That Was My Heart""...
The drums that start off ""Night And Day""

The same kind of music haunts her bedroom
I'm almost me again, she's almost you

I wouldn't know where to start
""Sweet Music"" playing ""In The Dark""
Be still ""My Foolish Heart,""
Don't ruin this on me

I wouldn't know where to start
""Sweet Music"" playing ""In The Dark""
Be still ""My Foolish Heart,""
Don't ruin this on me

Tell me who, and I'll be thanking them
The numbered lovers of Duke Ellington
Do I owe each kiss to lip and cheek as soft
As Chet can sing ""Let's Get Lost""
And ""Let The Good Times Roll""
"
4YAg8h8WliHZlW5wuv8Jpk,To Be Young (feat. Doja Cat),Anne-Marie,0.525,0.649,8.0,-4.802,1.0,0.0655,0.24100000000000002,0.0,0.129,0.28600000000000003,155.995,"They tell me I should mаke а plаn for life
All I'm thinkin' 'bout is whаt to do tonight
Hundred miles аn hour, no heаdlights
On аn open roаd, oh
We do whаt we cаn to dull the pаin
Pinky promise things will stаy the sаme
Even when I'm old, I'll know your nаme
Anywhere we go, oh

Dye my hаir а million colours
Dreаm I'll mаke а billion dollаrs
I sweаr thаt day cаn't come soon enough
In the meаntime, we just

Fаll in love, broken heаrt
Breаk the rules, drink too much
We're аll а mess, but I guess
This is whаt it feels like to be young (To be young)

Tаke а punch (Tаke а punch)
Get bаck up (Get bаck up)
Act а fool (Act а fool)
Give а fuck (Give а fuck)
We're аll а mess (All а mess)
But I guess
This is whаt it feels like to be young
"
5SspaMrPfWyRCS0GpjIxa6,Good Example (with Andy Grammer),R3HAB,0.456,0.496,1.0,-6.986000000000001,1.0,0.0743,0.42700000000000005,0.0,0.134,0.45,90.552,"When I'm away
When I can't stay
You know my heart breaks every night that I'm without you
Oh, my dear
I need you to hear
There's a reason for the miles that surround us

One day, I'ma look in your eyes
Tell you you were made to shine
Tell you to go out and find, out and find
What makes you come alive
One day, I'ma point to the sky
Tell you you were made to fly
When I'm gone, for too long, it's hard to handle
You know I'm trying to be a good example

"
1i3z3GR1JtLswOSJNO0BQw,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",Bebe Rexha,0.39399999999999996,0.718,7.0,-6.336,1.0,0.0607,0.706,0.0,0.11599999999999999,0.247,151.912,"Oh, they tryna shoot down angels
They tryna pull their wings off
So, they can't fly
And oh, but she's so brave though
Just like a tornado
She's taking us by storm

You can't stop the girl from going
You can't stop the world from knowing
The truth will set you free, oh
You can't stop the girl from going
You can't stop the world from knowing
The truth will set you free, oh
"
3DXdjHnePKnh6oXw2ZgGSl,Smile,Katy Perry,0.7829999999999999,0.912,0.0,-3.713,1.0,0.243,0.0238,0.0,0.33899999999999997,0.7490000000000001,98.025,"Yeah, I'm thankful
Scratch that, baby, I'm grateful
Gotta say it's really been a while
But now I got back that smile (Smile)

I'm so thankful
Scratch that, baby, I'm grateful
Now you see me shine from a mile
Finally got back that smile (Smile)

Every day, Groundhog Day
Goin' through motions felt so fake
Not myself, not my best
Felt like I failed the test

But every tear has been a lesson
Rejection can be God's protection
Long hard road to get that redemption
But no shortcuts to a blessin'

Yeah, I'm thankful
Scratch that, baby, I'm grateful
Gotta say it's really been a while
But now I got back that smile (Smile)
"
73h4oe03sZy8bXfQLfnqMv,Who's Laughing Now,Ava Max,0.648,0.6409999999999999,7.0,-5.521,1.0,0.0389,0.00565,3.63e-06,0.109,0.505,184.021,"Never knew the sting of a stranger
Never felt the words like a razor
But I won't give a damn 'bout it later

All the little digs doesn't matter
Writin' down a brand new chapter
Where there's only love, never anger

So lonely in your bed
Does breakin' me make you feel good?
Guess you don't understand
What goes around, comes around

Don't ya know that I'm stronger?
Don't ya see me in all black?
Don't ya cry like a baby?
Ha-ha-ha-ha, ha-ha-ha
Who's laughing now?

Know that it's over
Don't ya know I won't call back?
Don't ya cry like a baby?
Ha-ha-ha-ha, ha-ha-ha
"
7c2ag2Q4vhJyjDANataJj2,Drinks,Cyn,0.818,0.8029999999999999,0.0,-6.733,1.0,0.129,0.0591,8.75e-05,0.09300000000000001,0.34,141.916,"He got mad, so I got drinks
No, I'm not walking around in circles worried about what he thinks
Out with my friend, drinking a drink
Alexa knows the bartender so all the drinks are free
He got mad, so I got drinks
Yeah, some shit went down, so now I'm up for anything
Out with my friend, drinking a drink
I don't know what the problem is, I don't think it's me

First things first, yeah I know it's a bummer
That's right, it started with one that turned into another
You know I won't fake it or keep it under cover
And with it all out in the open, I can be me again

Taking the band-aid and ripping it off
Wish that I could but I can't care at all
"
4uqh9bualXNHXXwO2wPorc,Daisies,Katy Perry,0.639,0.546,1.0,-5.382000000000001,1.0,0.0407,0.0837,0.0,0.122,0.149,122.179,"Told them your dreams and they all started laughin'
I guess you're out of your mind 'til it actually happens

I'm the small town
One in seven billion
Why can't it be me?

They told me I was out there
Tried to knock me down
Took those sticks and stones
Showed 'em I could build a house
They tell me that I'm crazy
But I'll never let 'em change me
'Til they cover me in daisies, daisies, daisies

They said I'm goin' nowhere
Tried to count me out
Took those sticks and stones
Showed 'em I could build a house
They tell me that I'm crazy
But I'll never let 'em change me
'Til they cover me in daisies, daisies, daisies

"
27ycaQnQAxaPiyeg3nr2aB,Midnight Sky,Miley Cyrus,0.705,0.8140000000000001,4.0,-5.466,0.0,0.0346,0.00115,0.00312,0.203,0.259,110.0,"La-la-la-la-la

Yeah, it's been a long night, and the mirror's telling me to go home
But it's been a long time since I felt this good on my own, uh
Lotta years went by with my hands tied up in your ropes
Forever and ever, no more

The midnight sky's the road I'm takin'
Head high up in the clouds, oh-oh

I was born to run, I don't belong to anyone, oh-no
I don't need to be loved by you
Fire in my lungs, can't bite the devil on my tongue, oh-no
I don't need to be loved by you
See my lips on her mouth, everybody's talkin' now, baby
Oh, you know it's true (yeah, yeah)
That I was born to run, I don't belong to anyone, oh-no
Don't need to be loved by you (loved by you)

"
4L6ihclQPu1hqP9r3WNJjQ,Free Woman,Lady Gaga,0.731,0.927,0.0,-3.634,1.0,0.0781,0.0228,7.15e-05,0.187,0.478,119.006,"I'm walking downtown, hear my sound
No-one knows me yet, not right now
But I'm 'bout to set
This feeling, in motion
I walk the downtown, hear my sound

I see that I want it, want it (Be free)
Don't fight it, fight it
But if I'm gonna go for it
(I remember that, that I)
I see that I want it, want it (Be free)
Don't fight it, fight it
But if I'm gonna go for it
(I remember that, that I)

I'm not nothing without a steady hand (Hand)
I'm not nothing unless I know I can
I'm still something if I don't got a man
I'm a free woman
"
2HvtedoEeymVWrBPyAMNwZ,SUPERBLOOM,MisterWives,0.5579999999999999,0.889,8.0,-3.945,1.0,0.102,0.191,0.00038700000000000003,0.32799999999999996,0.716,170.102,"Ooh
Ooh
Ooh
Ooh (Mm)

Resilient little thing, just like mama made you
No one needs to save you
Ah-na-na, ah-na-na, ah-na-na
Wallflower in the spring
Oh, they can't contain you
Through the cracks, you break through
Ah-na-na, ah-na-na, ah-na-na

I deserve congratulations
'Cause I came out the other side
I've been having revelations
And I'm gon' let them shine

I deserve congratulations
I'd never thought that I'd survive
If you tell me I won't make it
That's when I, that's when I
Superbloom, superbloom
Superbloom, superbloom
"
0iLbxQU6BJ2zOa9yK8RNMA,Hurt By You,Donna Missal,0.5479999999999999,0.6890000000000001,11.0,-4.442,0.0,0.0332,0.0414,0.0,0.193,0.366,133.66899999999998,"Only give me love when I'm giving it back
But you say you'll never be my friend
Always on the train, never on the track
So I'm jumping before the crash
And I know you're just trying to scare me
But you lost all of your effect
You can bark like a dog, baring your teeth
But I'm never going back again
No, I'm never going back again

Babe, it's true
I'm in love with what we were
But not with you
What's left to prove?
Tried so many damn times to cut you loose
Now I'm way too far away to be hurt by you

You call to say you're better, I know better than that
"
1VSsfA5Z37dSNPqiK5dxmM,Love Not Loving You,Foxes,0.638,0.951,10.0,-2.985,1.0,0.109,0.00321,0.000126,0.0629,0.48700000000000004,121.04899999999999,"I don't need you to call me
And tell me I'm alright
I don't need you to knock on my door
In the dead of the night, no
You were always giving me all of your insecurities
How could you do it?
You knew what you were doing to me

And my body couldn't move with your hands on me
All I had were your words and I couldn't speak
Now I'm gonna give it all up, gonna love not being in love
So baby, bye, bye, bye, bye

(Ooh) You broke me out of a fever
You make me feel like someone else
You make me dance like I mean it
Now I love, now I love, now I love not loving you (ooh)
Now I love, now I love
Now I love not loving you (ooh)
Now I love, now I love
"
1fipvP2zmef6vN2IwXfJhY,I’m Ready (with Demi Lovato),Sam Smith,0.501,0.674,5.0,-6.3629999999999995,1.0,0.0408,0.00346,3.5600000000000005e-05,0.282,0.152,155.05100000000002,"It's a cold night in my bed in the heat of the summer
I've been waiting patiently for a beautiful lover
He's not a cheater, a believer
He's a warm, warm blooded achiever
It's a lonely night in my bed in the heat of the summer, uh

It's so hard when you're with someone
Your heart breaks and it ain't no fun
But I gotta take that risk tonight

I'm ready, I'm ready
I'm ready, I'm ready
For someone to love me (for someone to love me)

I'm ready (I'm ready), I'm ready (I'm ready)
I'm ready (I'm ready), I'm ready (I'm ready)
For someone to love me
For someone to love me
"
14sOS5L36385FJ3OL8hew4,Happy Now,Kygo,0.693,0.575,9.0,-6.997999999999999,1.0,0.0801,0.374,0.0,0.252,0.49200000000000005,117.999,"We don't wanna believe it, that it's all gone
Just a matter of minutes, before the sun goes down
We're afraid to admit it, but I know you know, know that
We should've known better, we kept on trying
And it's time that we see it, the fire's dying out
Can't believe that I say this, we're out of chances now
And I just want you to know that

You and me, it was good, but it wasn't right
And it'll be hard, but I know I will make it out
Step by step, I'll move on, and get on with life
So I let go, and I hope, you'll be happy now

You and me, it was good, but it wasn't right
And it'll be hard, but I know I will make it out
"
49dFIRQCQxPWgoH0m38XQ5,Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album,Lennon Stella,0.696,0.6859999999999999,5.0,-6.1129999999999995,0.0,0.0309,0.262,0.0,0.174,0.7,115.98200000000001,"I hear the rhythm of waves hittin' on the shore
And I can swear they're speakin', speakin', speakin'
They're tellin' me to relax, I'm not good at that
But now, I know I need it, need it, need it (I slide)

Ooh, now what you do? My tan lines tell the truth (I slide)
Yeah, on Venice beach, got sand all in my shoes (Tonight)
Ooh, unlock me loose, see the sunset from the roof (That's right)
Yeah, that crystal blue, and I came out someone new

Hey, gettin' in my summer feelings
And I'm trying to keep it cool
Way up here in my summer feelings
And I found a piece of me that I never knew
"
